FIPS_Code,Rural Urban Continuum Code,Economic typology 2015,Death rate,Net Migration rate,Less than HS rate,HS Graduate rate,Some College rate,Bachelor+ rate,Unemployment rate ,Median Household Income (% of State Total),Poverty rate,Poverty Rate 0-17,Median household income,Population Estimate ,Male Rate,Female Rate,UNDER5_RATE,AGE513_RATE,AGE1417_RATE,AGE1824_RATE,AGE2529_RATE,AGE3034_RATE,AGE3539_RATE,AGE4044_RATE,AGE4549_RATE,AGE5054_RATE,AGE5559_RATE,AGE6064_RATE,AGE6569_RATE,AGE7074_RATE,AGE7579_RATE,AGE8084_RATE,AGE85PLUS_RATE,MEDIAN_AGE_TOT,White Male rate,White Female Rate,Black Male Rate,Black Female Rate,Native American Male Rate,Native American Female Rate,Asian Alone Male,Asian Alone Female,Hawaiian Pacific Male,Hawaiian Pacific Female,Multi Male Rate,Multi Female Rate,White alone or in combination Rate,Black alone or in combination Rate,Native American alone or in combination Rate,Asian American alone or in combination Rate,Hawaiian alone or in combination Rate,Republican
21053,9,3,17,6.1,20.75098814,38.67436911,24.06506537,16.50957738,5.2,70.5,23.6,33.3,39877,9148,0.49781373,0.50218627,0.058373415,0.101333625,0.055640577,0.070725842,0.058482728,0.05946655,0.056843026,0.058919983,0.057826847,0.064057718,0.073677307,0.074114561,0.067993004,0.05509401,0.04328815,0.024814167,0.019348491,43.3,0.476060341,0.484696108,0.00623087,0.002623524,0.001967643,0.001749016,0.00218627,0.002951465,0.002295584,0.001967643,0.009073021,0.008198513,0.97759073,0.015959773,0.012352427,0.007651946,0.002623524,1
21055,8,1,16.3,3,16.22218715,43.45905002,27.75761401,12.56114881,4.1,85.2,17.9,26.6,53894,8974,0.507800312,0.492199688,0.054267885,0.110318698,0.057945175,0.073322933,0.054490751,0.057945175,0.050924894,0.062736795,0.059282371,0.062513929,0.064185425,0.072654335,0.067528415,0.057833742,0.041675953,0.030978382,0.021395142,43.1,0.484510809,0.475484734,0.011477602,0.002785826,0.001671495,0.003231558,0.001560062,0.001782928,0.000445732,0.000334299,0.008134611,0.008580343,0.975930466,0.021506575,0.0121462,0.006017384,0.000557165,1
21057,9,0,18.4,11.7,18.02862419,40.14312096,24.3767313,17.45152355,3.4,82.5,23.1,32,43127,6000,0.496166667,0.503833333,0.062,0.111833333,0.051333333,0.0635,0.046666667,0.060166667,0.054833333,0.051666667,0.054,0.0575,0.069166667,0.086166667,0.077333333,0.058,0.045833333,0.028666667,0.021333333,44.8,0.464166667,0.477833333,0.017666667,0.015,0.000833333,0.001666667,0.001666667,0.001,0,0,0.011833333,0.008333333,0.961833333,0.043666667,0.0105,0.004833333,0,1
21059,3,0,11.2,1.1,9.09824956,34.22008824,31.44014765,25.24151455,4.3,111.3,16.2,21.1,63213,103458,0.49063388,0.50936612,0.062218485,0.12368304,0.057037638,0.083434824,0.061338901,0.067051364,0.061599876,0.061493553,0.055887413,0.058564828,0.060034023,0.065224536,0.059985695,0.046675946,0.036265924,0.020365752,0.019138201,38.7,0.436360649,0.459684123,0.027035125,0.023990412,0.001130894,0.001130894,0.012488159,0.011337934,0.000773261,0.000744263,0.012845792,0.012478494,0.920653792,0.07038605,0.005664134,0.027044791,0.000995573,1
21061,3,4,14.5,17.6,15.97321331,44.58228126,29.13601932,10.30848611,5.1,86.8,16,21.8,56545,12448,0.500883676,0.499116324,0.046272494,0.087323265,0.045951157,0.070854756,0.060170308,0.063142674,0.058242288,0.0625,0.06691838,0.071015424,0.071336761,0.080253856,0.071256427,0.058804627,0.042496787,0.026510283,0.016950514,45.4,0.479193445,0.481121465,0.009479434,0.004820051,0.001928021,0.002892031,0.001847686,0.002972365,0,0.000160668,0.00843509,0.007149743,0.975498072,0.022011568,0.011005784,0.006989075,8.03E-05,1
21063,8,4,13.3,-0.6,25.05796326,49.13500981,19.58266453,6.224362404,8.2,68,25.8,28.4,43501,7245,0.580952381,0.419047619,0.035334714,0.085990338,0.046652864,0.073153899,0.072187716,0.07094548,0.064044168,0.068046929,0.070669427,0.070531401,0.066942719,0.057142857,0.065976536,0.0563147,0.04389234,0.027329193,0.02484472,43.9,0.525603865,0.410766046,0.04278813,0.000966184,0.003588682,0.000690131,0.001518288,0.000690131,0.001518288,0.000414079,0.005935128,0.005521049,0.947550035,0.049137336,0.009385783,0.003726708,0.001932367,1
21065,8,0,17,1.6,21.88084687,45.08124077,23.18069916,9.857213195,5,66.5,22.7,26.2,45129,13936,0.496555683,0.503444317,0.049081515,0.105123421,0.056831228,0.071541332,0.05467853,0.063576349,0.053673938,0.063217566,0.063074053,0.071254305,0.075272675,0.076779564,0.058051091,0.055683123,0.041547072,0.025832377,0.01478186,43.8,0.484070034,0.491460964,0.00337256,0.003300804,0.001578645,0.002080941,0.000717566,0.000789323,0.000287026,7.18E-05,0.006529851,0.005740528,0.987514351,0.011624569,0.009543628,0.003085534,0.000574053,1
21067,2,4,8.1,-3.8,7.616611467,19.00955417,26.06350994,47.31032442,3.4,107.5,15.7,18.2,67320,320154,0.492097553,0.507902447,0.055645096,0.10285675,0.0490389,0.136278166,0.075479301,0.072362051,0.065096797,0.065174885,0.058590553,0.056919482,0.053539859,0.054939186,0.050931739,0.041570619,0.028945445,0.017638387,0.014992785,35.6,0.373164165,0.384427494,0.079521105,0.083060027,0.001727294,0.001680441,0.021980047,0.022389225,0.000399808,0.000465401,0.015305134,0.015879858,0.787055604,0.182309139,0.009511048,0.053180657,0.000865209,0
21069,9,1,13.5,10.8,16.58141106,41.11572242,25.93379017,16.36907634,4.8,84.4,18.1,21.9,50804,15442,0.490933817,0.509066183,0.067024997,0.118443207,0.055562751,0.079199586,0.058282606,0.058088331,0.055497992,0.057052195,0.063074731,0.066960238,0.067802098,0.062880456,0.061585287,0.04934594,0.041121616,0.021694081,0.016383888,40.7,0.47409662,0.490610025,0.008030048,0.008936666,0.000647585,0.000647585,0.001230411,0.001554203,0,6.48E-05,0.006929154,0.007252947,0.978305919,0.025126279,0.005828261,0.004727367,0,1
21071,7,2,18.9,-6,18.93718261,38.33819825,27.6380503,15.08656884,6,63,26.5,30.6,40604,34423,0.490805566,0.509194434,0.055863812,0.114545507,0.05403364,0.069895128,0.054382244,0.059727508,0.058420242,0.064230311,0.063765506,0.065944281,0.067716352,0.068965517,0.068675014,0.059117451,0.038230253,0.0211196,0.015367632,42.6,0.478662522,0.499317317,0.005170961,0.002643581,0.000784359,0.00087151,0.001597769,0.00165587,0.000174302,2.91E-05,0.004415652,0.004677105,0.986782093,0.011765389,0.005781019,0.004589954,0.000261453,1
21073,4,4,13.5,5.5,7.522136099,30.49954487,30.14647064,31.8318484,3.6,98.7,11.8,15.3,66920,51644,0.485864766,0.514135234,0.051661374,0.105084811,0.051564557,0.089632871,0.063569824,0.066358144,0.059464797,0.062311207,0.061168771,0.067035861,0.065990241,0.065525521,0.061633491,0.054488421,0.036170707,0.021996747,0.016342654,41,0.410386492,0.437533886,0.049008597,0.050422121,0.00214933,0.00197506,0.009197583,0.009371853,0.00017427,0.000154907,0.014948494,0.014677407,0.876190845,0.119917125,0.011230733,0.021996747,0.000542173,1
21075,9,0,19,2.4,18.81494583,39.90714128,24.01061243,17.26730046,5,68.2,25.9,35.2,41088,6338,0.513726728,0.486273272,0.054118018,0.114231619,0.049700221,0.07573367,0.066109183,0.078415904,0.060586936,0.059009151,0.050962449,0.046860208,0.064058062,0.065004733,0.071789208,0.057273588,0.040706848,0.025086778,0.020353424,40.1,0.367150521,0.341905964,0.121489429,0.12133165,0.001262228,0.002840013,0.004417797,0.003628905,0.000631114,0.000788892,0.018775639,0.015777848,0.743136636,0.266803408,0.012622278,0.010571158,0.000788892,1
21077,1,3,12.9,2.3,15.55888722,43.44494419,27.80276528,13.1934033,4,99.9,13.1,18.2,66789,8792,0.504094631,0.495905369,0.060509554,0.118175614,0.055959964,0.079049136,0.065514104,0.070632393,0.055505005,0.060168335,0.063011829,0.065514104,0.075181984,0.069949955,0.060623294,0.040491356,0.029572338,0.01910828,0.011032757,39.5,0.474408553,0.469631483,0.011487716,0.007620564,0.002161056,0.002616015,0.003298453,0.002274795,0.001251137,0.000568699,0.011487716,0.013193813,0.967925387,0.034008189,0.012283894,0.008871702,0.001364877,1
21079,8,0,13.2,18.3,14.17450535,37.73921505,29.01394745,19.07233214,3.9,97.5,17.6,24.2,62980,17829,0.500420663,0.499579337,0.052162208,0.115373829,0.054013125,0.068932638,0.049077346,0.061641146,0.059846318,0.061641146,0.062370296,0.066184306,0.073644063,0.080711201,0.067586516,0.049189523,0.036177015,0.022323181,0.019126143,43.3,0.473666498,0.474844355,0.01329295,0.010768972,0.002299624,0.002187447,0.001682652,0.002355713,0.000280442,0.000280442,0.009198497,0.009142408,0.966178698,0.034438275,0.010881149,0.006562342,0.000448707,1
21081,1,0,11.9,3.4,11.20265617,43.66084604,30.02336449,15.1131333,4,112.2,13,17.9,68309,25619,0.50470354,0.49529646,0.069870018,0.128537414,0.065107928,0.084117257,0.065068894,0.063507553,0.057886725,0.061165541,0.059135798,0.068503845,0.064210157,0.065107928,0.051797494,0.040672938,0.027674773,0.018072524,0.009563215,37,0.484562239,0.479214645,0.00729927,0.004449822,0.001639408,0.001522308,0.002615246,0.002342012,0.001131972,0.000780671,0.007455404,0.006987002,0.97743862,0.019829033,0.008314142,0.007104102,0.001288106,1
